"Microsoft","Office","CVE-2009-0556","2009-04-03T00:00:00Z"
"Microsoft","Office","CVE-2009-0557","2022-06-08T00:00:00Z"
"Microsoft","Office","CVE-2009-0561","2012-10-18T00:00:00Z"
"Microsoft","Office","CVE-2009-0563","2013-03-14T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2009-0658","2009-02-20T00:00:00Z"
"isc","bind","CVE-2009-0696","2009-07-29T00:00:00Z"
"slysoft","anydvd","CVE-2009-0824","2018-03-06T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2009-0927","2010-01-20T00:00:00Z"
"ichitaro","ichitaro","CVE-2009-1054","2009-03-24T00:00:00Z"
"Microsoft","Windows","CVE-2009-1123","2016-08-04T00:00:00Z"
"Microsoft","Office","CVE-2009-1134","2012-10-18T00:00:00Z"
"Microsoft","isa_server","CVE-2009-1136","2009-07-15T00:00:00Z"
"phpMyAdmin","phpMyAdmin","CVE-2009-1151","2011-07-29T00:00:00Z"
"Mozilla","Firefox","CVE-2009-1308","2009-04-22T00:00:00Z"
"paul_marquess","compress-raw-zlib_perl_module","CVE-2009-1391","2009-06-16T00:00:00Z"
"konstanty_bialkowski","libmodplug","CVE-2009-1438","2009-04-27T00:00:00Z"
"pjhome","puterjams_blog","CVE-2009-1481","2009-04-29T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2009-1492","2010-01-20T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2009-1493","2010-01-20T00:00:00Z"
"Microsoft",".NET Framework","CVE-2009-1536","2009-08-13T00:00:00Z"
"Microsoft","DirectX","CVE-2009-1537","2009-05-29T00:00:00Z"
"Cisco","wvc54gca","CVE-2009-1558","2025-06-16T00:00:00Z"
"baofeng","storm","CVE-2009-1612","2009-05-11T00:00:00Z"
"chinagames","igame","CVE-2009-1800","2009-05-28T00:00:00Z"
"baofeng","storm","CVE-2009-1807","2009-05-28T00:00:00Z"
"Adobe","ColdFusion","CVE-2009-1872","2024-09-19T00:00:00Z"
"Microsoft","Windows","CVE-2009-1923","2009-08-18T00:00:00Z"
"Microsoft","Windows","CVE-2009-1930","2010-05-01T00:00:00Z"
"Cisco","IOS XR","CVE-2009-2055","2022-03-25T00:00:00Z"
"fckeditor","fckeditor","CVE-2009-2265","2009-07-05T00:00:00Z"
"VMware","ace","CVE-2009-2267","2026-02-09T00:00:00Z"
"Nagios","nagios","CVE-2009-2288","2020-12-01T00:00:00Z"
"sun","java_system_web_server","CVE-2009-2445","2024-05-07T00:00:00Z"
"Mozilla","Firefox","CVE-2009-2477","2010-05-01T00:00:00Z"
"Microsoft","visual_c\+\+","CVE-2009-2493","2009-11-04T00:00:00Z"
"Microsoft","Windows","CVE-2009-2501","2012-10-18T00:00:00Z"
"Microsoft","Internet Information Services (IIS)","CVE-2009-2521","2023-02-14T00:00:00Z"
